,Unnamed: 0,Image,Class
11238,11238,ISIC_0032641.jpg,1
19157,19157,ISIC_0063470.jpg,0
20518,20518,ISIC_0065636.jpg,1
19571,19571,ISIC_0064128.jpg,2
22636,22636,ISIC_0068983.jpg,1
10186,10186,ISIC_0031589.jpg,1
6,6,ISIC_0000007.jpg,1
10827,10827,ISIC_0032230.jpg,3
1879,1879,ISIC_0013568_downsampled.jpg,1
14165,14165,ISIC_0055468.jpg,0
14743,14743,ISIC_0056424.jpg,1
18344,18344,ISIC_0062161.jpg,0
11942,11942,ISIC_0033345.jpg,1
6835,6835,ISIC_0028238.jpg,2
13582,13582,ISIC_0054552.jpg,2
20923,20923,ISIC_0066314.jpg,1
3895,3895,ISIC_0025298.jpg,1
9085,9085,ISIC_0030488.jpg,3
21819,21819,ISIC_0067706.jpg,2
10502,10502,ISIC_0031905.jpg,1
21678,21678,ISIC_0067487.jpg,0
18912,18912,ISIC_0063072.jpg,0
21893,21893,ISIC_0067818.jpg,2
23526,23526,ISIC_0070373.jpg,1
21576,21576,ISIC_0067323.jpg,1
4242,4242,ISIC_0025645.jpg,1
14223,14223,ISIC_0055563.jpg,0
7180,7180,ISIC_0028583.jpg,2
8753,8753,ISIC_0030156.jpg,1
16299,16299,ISIC_0058900.jpg,2
16480,16480,ISIC_0059187.jpg,1
23226,23226,ISIC_0069907.jpg,2
21167,21167,ISIC_0066685.jpg,0
22370,22370,ISIC_0068575.jpg,3
6724,6724,ISIC_0028127.jpg,0
8883,8883,ISIC_0030286.jpg,1
13438,13438,ISIC_0054317.jpg,0
8182,8182,ISIC_0029585.jpg,3
9454,9454,ISIC_0030857.jpg,1
11366,11366,ISIC_0032769.jpg,1
21493,21493,ISIC_0067205.jpg,0
14491,14491,ISIC_0055996.jpg,1
12099,12099,ISIC_0033502.jpg,1
19971,19971,ISIC_0064783.jpg,0
18188,18188,ISIC_0061911.jpg,0
5392,5392,ISIC_0026795.jpg,1
19444,19444,ISIC_0063935.jpg,1
24190,24190,ISIC_0071460.jpg,1
23236,23236,ISIC_0069918.jpg,0
10672,10672,ISIC_0032075.jpg,1
659,659,ISIC_0009083_downsampled.jpg,1
13868,13868,ISIC_0054995.jpg,0
22577,22577,ISIC_0068896.jpg,1
5946,5946,ISIC_0027349.jpg,1
8475,8475,ISIC_0029878.jpg,3
2286,2286,ISIC_0014575_downsampled.jpg,3
17895,17895,ISIC_0061448.jpg,0
6312,6312,ISIC_0027715.jpg,1
19274,19274,ISIC_0063666.jpg,2
6284,6284,ISIC_0027687.jpg,1
7713,7713,ISIC_0029116.jpg,1
660,660,ISIC_0009160_downsampled.jpg,1
11450,11450,ISIC_0032853.jpg,1
1120,1120,ISIC_0011144.jpg,1
7625,7625,ISIC_0029028.jpg,0
4857,4857,ISIC_0026260.jpg,1
8869,8869,ISIC_0030272.jpg,3
12556,12556,ISIC_0033959.jpg,1
12432,12432,ISIC_0033835.jpg,1
7381,7381,ISIC_0028784.jpg,1
24671,24671,ISIC_0072203.jpg,1
18239,18239,ISIC_0061999.jpg,2
1916,1916,ISIC_0013651_downsampled.jpg,0
24847,24847,ISIC_0072506.jpg,2
16088,16088,ISIC_0058582.jpg,1
9737,9737,ISIC_0031140.jpg,2
18465,18465,ISIC_0062355.jpg,2
17633,17633,ISIC_0061011.jpg,0
20002,20002,ISIC_0064823.jpg,0
16691,16691,ISIC_0059519.jpg,1
9587,9587,ISIC_0030990.jpg,1
18274,18274,ISIC_0062055.jpg,3
15357,15357,ISIC_0057391.jpg,1
7844,7844,ISIC_0029247.jpg,1
18619,18619,ISIC_0062596.jpg,0
3447,3447,ISIC_0024850.jpg,3
12297,12297,ISIC_0033700.jpg,0
7521,7521,ISIC_0028924.jpg,1
